Identifier,Institution Name,Owner,Established Since,Address,Phone Number,Email,Website,Status,Condition,Institution Type,License Number,Tax Number,Village,Province Name,City Name,Sectors,Popular Vocationals
34605557-38bb-49f6-924d-5c66a3443960,BLK KOMUNITAS PON PES DARUL HIKMAH,R MUHAMMAD SYAFI'UN NI'AM,2020,"JL. SUNAN GIRI RT. 02, RW. 02 DESA GUMANTUK KECAMATAN MADURAN KABUPATEN LAMONGAN",0811327475,darulhikmahgumantuk99@gmail.com,-,published,new,BLK KOMUNITAS,563/219/413.116/LPK/2021,665426359645000,Maduran,JAWA TIMUR,KAB. LAMONGAN,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
cf3ba491-1a05-4399-b7fd-abeb7690037c,BLKK YPI AL ROSYID,MISBAHUS SURUR,2020,"KALIMONDO, RT 002 RW 001 PELANGWOT LAREN LAMONGAN",085645349994,blkkypialrosyid@gmail.com,,published,operational,BLK KOMUNITAS,surat pernyataan,427480835645000,Pelangwot,JAWA TIMUR,KAB. LAMONGAN,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
62657e98-b91e-4bd3-933f-2ba89f7a046e,BLKK AL AMIN AL HAROMAIN,"ABDUSSOMAD,LC",2020,JALAN RATU CEMPAKA DESA NAGASAREH KECAMATAN BANYUATES KABUPATEN SAMPANG,085235773335,blkkalminhar754@gmail.com,blkkalminhar754.blogspot.com,published,operational,BLK KOMUNITAS,560/210/434.211/KEP/V/2021,029892817644000,Nagasareh,JAWA TIMUR,KAB. SAMPANG,JASA,GARMEN APPAREL
e9d7174b-8856-4adf-b588-0556ecdf557c,ASMITHA SUKSES MANDIRI,INDRIYA ASMITHA,2021,PERUM THE COZY RESIDENCE BLOCK C7A JUNREJO - KOTA BATU 65321,081222585794,asmithasuksesmandiri@gmail.com,,published,operational,LPK SWASTA,07082301630290001,962995734628000,Junrejo,JAWA TIMUR,KOTA BATU,JASA,TATA KECANTIKAN
6b5d34d8-4bf2-4a7f-84fb-7bd965437a39,BLKK PONPES JAMIATUL IKHWAN,ASEP IMAM MUNANDAR,2020,JL.KH.M.YUNUS NO.01 KP. PASIR BUNTU DS. MALANGGAH KEC. TUNJUNG TEJA KAB. SERANG - BANTEN,083851571992,asepimammunandar@gmail.com,-,published,operational,BLK KOMUNITAS,BINAAN BBPLK SERANG NO 72,316926450401000,Bojong Catang,BANTEN,KAB. SERANG,PERTANIAN,TEKNOLOGI INFORMASI DAN KOMUNIKASI
ee4404a5-61ea-4651-97ee-c34903386c9d,LPK MITRA DUTA BALI,I NENGAH SUARBAWA,2019,"BR.KALANGANYAR,YANGAPI,TEMBUKU,BANGLI,BALI",081236862666,mitradutabangli@yahoo.com,,published,operational,LPK SWASTA,NIB 9120111162912 + Sertifikat Standar yang Telah Terverifikasi No 91201111629120001,903162966907000,Yangapi,BALI,KAB. BANGLI,PERTANIAN,"BAHASA JEPANG, BISNIS DAN MANAJEMEN"
446108a9-83f2-4bd6-a111-2fedeb80be7c,BLKK. PP. UMI ROTIAH HIMAYATUL ISLAM,MOHAMMAD FAUZI,2019,JL. LAPANGAN MASBAWANG TELUKDALAM,081234313943,umirotiah.blkk19@gmail.com,,published,operational,BLK KOMUNITAS,Surat Pernyataan,933196669612000,Kebontelukdalam,JAWA TIMUR,KAB. GRESIK,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
5d092b39-e49e-41ec-ad39-9cff4c51806c,BLKK AL HAMDANIYAH,MOCH. HASYIM FAHRURROZI,2020,JL. KH. KHAMDANI V,087752712502,pp.alhamdaniyah@gmail.com,,published,new,BLK KOMUNITAS,surat pernyataan,700185663643000,Buduran,JAWA TIMUR,KAB. SIDOARJO,JASA,BISNIS DAN MANAJEMEN
a2e2ef37-364e-4b39-bcd9-12ac6af00cf8,BLKK DAAR AL FAQIH (DAFA) YTI,DRS. MUHAMAD HASANUDIN,2021,JL. KAUMAN NO.09 NGULING,081233390080,blkkdafa01@gmail.com,,published,new,BLK KOMUNITAS,35.14.424.078/IX/V/2021,418860722624000,Nguling,JAWA TIMUR,KAB. PASURUAN,"PERDAGANGAN, JASA",PROCESSING
41f63aea-6c73-4d49-9e85-f7896a699c83,BLKK PONDOK PESANTREN SIROJUL HUDA,MUHAMAD ABDUL JALIL,2020,KP.BANTAR KAMBING RT 010/004 DESA TANJUNG SARI KECAMATAN CIJERUK KABUOATEN BOGOR,089514844022,Blksirojulhuda@gmail.com,,published,operational,BLK KOMUNITAS,562/262/Kpts/VI/2021,424863991434000,Tanjungsari,JAWA BARAT,KAB. BOGOR,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
ca3e7eb5-e771-4acb-8606-ac1d60eb2f0c,BLKK AL-MACHFUDZOH,"M.DAMANHURI, M.PD.I",2020,DSN KAWATAN DS. KEDUNGCANGKRING RT 06 RW 03 KEC. JABON KAB. SIDOARJO PROV. JAWA TIMUR (BLK BINAAN SIDOARJO),085851666181,almachfudzoh@gmail.com,almachfudzoh.sch.id,published,operational,BLK KOMUNITAS,surat pernyataan,812141646617000,Balongtani,JAWA TIMUR,KAB. SIDOARJO,JASA,"BISNIS DAN MANAJEMEN, BAHASA INGGRIS"
53e9205d-d2df-4258-84f8-3ff358c73078,NEPMA LENTERA INDONESIA,NUR SOFIYULLOH,2020,"CITRA GRAND CIBUBUR CBD RUKO MARQUETTE BLOK AR1 NO. 27, RT.002/RW.006, JATIRANGGA, KEC. JATISAMPURNA, KOTA BKS, JAWA BARAT 17434",02122176576,nepma.lentera@gmail.com,www.lpk-nepmacenter.com,published,new,LPK SWASTA,0224010040886,961898046447000,Jatirangga,JAWA BARAT,KOTA BEKASI,"KOMUNIKASI, JASA",BAHASA JEPANG
4090d7c5-a5ea-40e9-8f6f-ac6bd81de34f,BLK KOMUNITAS TAHFIZ DARUL MUTTAQIN,ASEP JALALUDIN,2020,KP. CIBADAK KAUM RT 04/02 DS CIBADAK KEC CIAMPEA KAB BOGOR,081382153780,tahfizdarulmuttaqin@gmail.com,-,published,new,BLK KOMUNITAS,562/252/Kpts/VI/2021,842447047434000,Cibadak,JAWA BARAT,KAB. BOGOR,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
b372c127-0ab9-4244-9910-fff161cddfcb,BLKK EL JASMEEN,AHMAD ZAKKI SAMUDERA,2020,"JL. TANJUNG UTARA 31 DESA BANJARARUM, KEC. SINGOSARI, KAB. MALANG",085338667212,blkkeljasmeen@gmail.com,,published,operational,BLK KOMUNITAS,Surat  Pernyataan,427078522657000,Lang - Lang,JAWA TIMUR,KAB. MALANG,"KOMUNIKASI, JASA",TEKNOLOGI INFORMASI DAN KOMUNIKASI
1a661fee-d519-450d-b985-d02b2de12737,LEMBAGA PELATIHAN KERJA KOCHIRA BALI INDONESIA,"NI KOMANG SUTRESNI,S.S.",2021,"RT. 000/RW.00, BANJAR KATIKLANTANG, DESA SINGAKERTA, KECAMATAN UBUD, KABUPATEN GIANYAR, PROVINSI BALI",082147120233,kochirakolpk@gmail.com,https://lpkkochirabali.com/,published,operational,LPK SWASTA,0703230063653,623573136907000,Singekerta,BALI,KAB. GIANYAR,"PERTANIAN, KOMUNIKASI",BAHASA JEPANG
a0887054-e357-4ee3-b910-ee4abef778ba,LPK AMORA SALON,MURSIH,2020,"SENTONO UTARA, RT 15 RW 05, KEL. GLANGGANG, KEC. BEJI, KAB. PASURUAN, JAWA TIMUR",085655429258,salonamora99@gmail.com,https://camorasalonlpk.wordpress.com/,published,operational,LPK SWASTA,02203003214890002,946232188624000,Beji,JAWA TIMUR,KAB. PASURUAN,JASA,TATA KECANTIKAN
33719b4b-eeb8-4c86-ab76-5e3d2b894a27,BLKK YAYASAN PENDIDIKAN PONDOK PESANTREN AL-MA'RUF,"SYAMSURI, S.PD.I",2020,DESA KEMLAGIGEDE RT.03 RW. 01 KECAMATAN TURI KABUPATEN LAMONGAN,085815784144,masyhudaahmad@gmail.com,,published,operational,BLK KOMUNITAS,563/188/413.116/LPK/2021,740071089645000,Kemlagigede,JAWA TIMUR,KAB. LAMONGAN,PERTANIAN,TEKNOLOGI INFORMASI DAN KOMUNIKASI
f7d409d2-4bb3-4cb9-bb4b-db48004d133a,BLK KOMUNITAS PONDOK PESANTREN TERPADU AL-AMIN MALANG,SYAHRUL KARIM,2020,"JL. TRUNOJOYO NO. 01 DESA. SUKOSARI, RT 01/RW 01, KECAMATAN GONDANGLEGI, KABUPATEN MALANG, PROVINSI JAWA TIMUR",083835911490,blkkalaminmalang@gmail.com,,published,operational,BLK KOMUNITAS,surat pernyataan,664640380654000,Sukosari,JAWA TIMUR,KAB. MALANG,JASA,TATA BUSANA
cbe706cc-f1b7-4cc4-866b-9b44f2d1ae29,BLK KOMUNITAS ROUDLOH BOJONEGORO,M. FATIKH RIDLO,2021,"DUSUN MRUWUT RT.001 RW.001 DESA SEMAMBUNG, KANOR",085707593257,blkkroudlohsemambung@gmail.com,,published,operational,BLK KOMUNITAS,15122200747210001,427581145601000,Semambung,JAWA TIMUR,KAB. BOJONEGORO,"KOMUNIKASI, JASA",TEKNOLOGI INFORMASI DAN KOMUNIKASI
b72cbbbd-bf31-4911-ac7b-03c11c8a20b6,BLKK PC MUSLIMAT NU JOMBANG,AISYAH MUHAMMAD.SE,2020,"JL.HOS COKRO AMINOTO RT/RW 007/003 NO.36 KEPANJEN JOMBATAN 
KAB.JOMBANG 61419 JAWA TIMUR",+62 813-3049-1604,blkkmuslimatjombang@gmail.com,,published,operational,BLK KOMUNITAS,24082200668320001,431527332649000,Jombatan,JAWA TIMUR,KAB. JOMBANG,JASA,TATA BOGA
d135ba0d-c8f9-43d2-9baf-e780dc05a0a6,BLK KOMUNITAS AR RAHMAH,K. ABD. JALIL,2020,JL. SUMBER ILMU KRAJAN RT 02 RW 01 KARANGSARI BANTUR KAB. MALANG,081555998787,Ponpesarrahmah99@gmail.com,,published,operational,BLK KOMUNITAS,surat pernyataan,916512742654000,Bandungrejo,JAWA TIMUR,KAB. MALANG,JASA,TATA BUSANA
6d1f4de5-6e35-48fb-8607-e5debc03f182,BLKK PP ROUDLOTUL ULUM AL KHOZINY,"NAWAWI, SE",2020,JALAN ADENIUM BLOK O RELOKASI MINDI DESA KESAMBI KECAMATAN PORONG KABUPATEN SIDOARJO,081334895453,blkkroudlotululumalkhoziny@gmail.com,,published,new,BLK KOMUNITAS,Surat Pernyataan,814743258617000,Kesambi,JAWA TIMUR,KAB. SIDOARJO,KOMUNIKASI,BISNIS DAN MANAJEMEN
dc5be2ae-8549-4eb1-9ef5-0f6fcc0e1625,BLKK AL FARHAN,H. DEDEN ZAENUL FARHAN,2020,"JL.RAYA RANGKASBITUNG-BOGOR KM 34, KP.BABAKAN PEDES, RT.003/RW.001, DESA.SIPAYUNG, KEC.CIPANAS, KAB.LEBAK, PROP.BANTEN",089628286336,pptalfarhansch@gmail.com,www.pptalfarhan.sch.id,published,new,BLK KOMUNITAS,563/314-Disnaker/IX/2021,603002643419000,Sipayung,BANTEN,KAB. LEBAK,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
c98f5ade-662b-4734-a534-3d74244e0340,BLKK YAYASAN ANNUR ASSYARIFIYAH,H.NUR QOMARI,2021,DUSUN PADANGDANG DESA BAJEMAN KECAMATAN TRAGAH KABUPATEN BANGKALAN 69165 JAWA TIMUR,081938004995,hajinurq@gmail.com,WWW.blkYANURASY.COM,published,operational,BLK KOMUNITAS,560/809/433.122/2021,809791676644000,Bajeman,JAWA TIMUR,KAB. BANGKALAN,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
e49857ae-5818-4e78-bdd7-58415e081d3e,BLKK PP DARUL MUQIMIN,KH. OPAN NAUFAL,2020,KP. BABAKAN RT.005/002 DESA KADUBALE KECAMATAN BANJAR KABUPATEN PANDEGLANG,081311581588,lilyhariri582@gmail.com,,published,operational,BLK KOMUNITAS,563/Kep.29-DTKT/2020,421178484419000,Banjar,BANTEN,KAB. PANDEGLANG,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
b0bf23f1-ff76-4986-ae6e-b345b894e3f0,BLK KOMUNITAS YSPI AL AZHAR,"AHMAD ADNAN, S.PD",2020,JL. KH MALIK GG 21 RT 03 RW 08 KELURAHAN BURING KECAMATAN KEDUNGKANDANG  KOTA MALANG 65136 PROVINSI JAWA TIMUR,081230065250,blkkalazharburing@gmail.com,,published,operational,BLK KOMUNITAS,SURAT PERNYATAAN,426610036623000,Buring,JAWA TIMUR,KOTA MALANG,JASA,TATA BUSANA
9531aabc-e7d9-4f0c-bc02-13bd9d64fbf0,BLKK HIKMATUL IMAN,AHMAD SUMADI,2020,KP. PANENJOAN RT. 018 RW. 003 DS. MAJASARI KEC. JAWILAN KAB. SERANG - BANTEN,081314339307,purnawanade89@gmail.com,,published,operational,BLK KOMUNITAS,SURAT PERNYATAAN,427543368454000,Jawilan,BANTEN,KAB. SERANG,"JASA, KOMUNIKASI",TEKNOLOGI INFORMASI DAN KOMUNIKASI
20d9266c-c01b-455f-a70d-31412f535d84,BLKK PPS NURUL HIKMAH,ZAKARIA,2020,KP. KAREO GENGGONG 008/002 DS. KAREO KEC. JAWILAN KAB. SERANG,081317928819,zeackzakaria@yahoo.co.id,,published,new,BLK KOMUNITAS,563/002-DPMPTSP/2021,019398262454001,Kareo,BANTEN,KAB. SERANG,INDUSTRI PENGOLAHAN (MANUFAKTUR),GARMEN APPAREL
5c8d746c-a57e-4f39-9184-5fed7ac6f7f6,BLK GERAI BAROKAH,GUFRON GOZALI,2020,KAMPUNG JAMBU RT.04/02 DS.JAMBU KARYA KEC.RAJEK KAB.TANGERANG,085215999202,blkkgeraibarokah@gmail.com,,published,new,BLK KOMUNITAS,800.05/439-disnaker,426294047418000,Sukatani,BANTEN,KAB. TANGERANG,PERTANIAN,"PROCESSING, TATA BOGA"
313d8b6e-9caf-44c9-9c9d-e1caeb26f874,BLK KOMUNITAS PONPES ATTARBIYAH,KH. EMED BUKHORI,2020,JLN. SURYA BIDIN GUNAWAN KP. SUSUKAN RT 01/06 KEL. RANGKASBITUNG BARAT KEC. RANGKASBITUNG KAB. LEBAK,083812155525,blkkomunitasattarbiyah@gmail.com,,published,operational,BLK KOMUNITAS,NOMOR: 563/185-disnaker/V/2021,211273776419000,Rangkasbitung Barat,BANTEN,KAB. LEBAK,JASA,"GARMEN APPAREL, TATA BUSANA"
8c0401b5-f10f-4877-a5fb-f532d251259d,BLKK PONDOK PESANTREN ROUDLOTUL HIDAYAH,"H. MAS'UD,SE.MM.",2021,"JLN.PONDOK,DSN.PAKIS WETAN,DS.PAKIS,TROWULAN,MOJOKERTO",081330035559,blk.rouhid2020@gmail.com,,published,operational,BLK KOMUNITAS,9120502723302,422625806602000,Bejijong,JAWA TIMUR,KAB. MOJOKERTO,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
825c660b-13d2-44e2-bf0d-d677b54fc1e3,BLKK NURWIDIA,H. HUAMEDI HAKIM,2021,KP. NYOMPLONG DESA CIBADAK KECAMATAN CIBADAK KABUPATEN LEBAK-BANTEN,085691188820,najmudinm07@gmail.com,,published,operational,BLK KOMUNITAS,563/172 -Disnaker/V/2021,424927572419000,Cibadak,BANTEN,KAB. LEBAK,JASA,"GARMEN APPAREL, TATA BUSANA"
5bddcaa5-c6e8-459a-8b8e-d5919819191c,BLKK DARUL ULUM BANYUANYAR,"BAIDAWI ARROHMAN, S.E.",2020,"JALAN PP BANYUANYAR, BUJUDAN, PATOAN DAJAH, PALENGAAN, KABUPATEN PAMEKASAN, JAWA TIMUR 69362, INDONESIA",082331453587,pp.banyuanyar@gmail.com,www.banyuanyar.net,published,new,BLK KOMUNITAS,35.28.14.2021,030200216608000,Patoan Dajah,JAWA TIMUR,KAB. PAMEKASAN,KOMUNIKASI,"TEKNOLOGI INFORMASI DAN KOMUNIKASI, TEKNIK ELEKTRONIKA"
e3ec5d16-e41f-4c48-944d-129bec2aa6ec,BLKK PONDOK PESANTREN BUMI ASWAJA,MUHAMMAD SHOBIRIN,2019,RT. 016  RW. 003 WONOKERTO DUKUN GRESIK JAWA TIMUR,08123035782,bumiaswaja@yahoo.co.id,,published,operational,BLK KOMUNITAS,Surat Pernyataan,946699048612000,Wonokerto,JAWA TIMUR,KAB. GRESIK,"INDUSTRI PENGOLAHAN (MANUFAKTUR), KONSTRUKSI",TEKNIK LAS
12c43ecb-d78d-4c60-9ae5-edcf9b7e0b28,LPK (BLKLN) ANDASUMI LESTARI BERKAH,AGUS PURWANTO,2021,"JALAN SINGOLEMBORO NO 32, RT 001/ RW 002, DUKUH PABRIK, KECAMATAN SIMAN, KABUPATEN PONOROGO.",082143694072,andasumilestariberkah@gmail.com,http://www.andasumilestariberkah@gmail.com,published,operational,BLKLN,"11012402303230001, 11012402303230002, 11012402303230003",998189062647000,Beton,JAWA TIMUR,KAB. PONOROGO,JASA,"HOUSEKEEPING, BAHASA JEPANG"
7c992277-0ac1-4007-a270-589c0a3f568e,BLK KOMUNITAS NURUL ULUM,"FATHAN FIHRISI, M.PD.I",2020,"DUSUN TEGALAN RT.01 RW. 04, DESA SUMBERKEJAYAN, KECAMATAN MAYANG, KABUPATEN JEMBER, PROVINSI JAWA TIMUR.",085746119425,fathanfihrisi@gmail.com,-,published,operational,BLK KOMUNITAS,503/A.1/0010.B/35.09.325/2021,426105037626000,Sumberkejayan,JAWA TIMUR,KAB. JEMBER,PERTANIAN,PROCESSING
3b8461f5-0fb2-41e5-8214-090c553d48da,HUDAATUL UMAM,H. NGAJMUDIN,2021,"JL. KAWASAN INDUSTRI NO 63 RT 004/002 KP PASIR AWI DES. SUKA ASIH KEC, PASAR KEMIS KAB. TANGERANG, BANTEN 15560, INDONESIA",085782212419,blkhudaatulumam2021@gmail.com,hudaatulumam.org,published,operational,BLK KOMUNITAS,Ser:800.05/2186/-Disnaker/2021,417762366418000,Sindang Jaya,BANTEN,KAB. TANGERANG,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
b4ad55eb-b915-405e-ad9c-442ceda6143d,LPK GLOBAL PLAN MANAGEMENT,ADE RAHMAT FIRDAUS,2021,"JL. DARU II BLOK G5 NO.18 DELTA SILICON V LIPPO CIKARANG, KELURAHAN CICAU, KECAMATAN CIKARANG PUSAT KABUPATEN BEKASI PROVINSI JAWA BARAT",02189925225,lpkglobalplanmanagement@gmail.com,,published,operational,LPK SWASTA,NOMOR : 81200130115980002,313580672905000,Karangrahayu,JAWA BARAT,KAB. BEKASI,JASA,BAHASA JEPANG
cf0f5929-db40-4f24-980c-d9253245f469,BLKK MANBAUL HIKAM,"SUYANTO, S.SOS",2020,JL. NY. HJ. HALIMATUS SA'DIYAH NO. 01,082230954898,blkkmanbaulhikam@gmail.com,,published,operational,BLK KOMUNITAS,188/016/431.208.2/2021,815369947656000,Panji Kidul,JAWA TIMUR,KAB. SITUBONDO,PERTANIAN,PERTANIAN
f5861ce3-db41-44fc-9eeb-c848228e9743,BLKK PONPES BANII HASAN,ABDUL MUGIS,2020,KP. TABAN RT. 005 RW. 003 DS. TABAN KEC. JAMBE KAB. TANGERANG - BANTEN,083891071072,ardaniahmad002@gmail.com,,published,operational,BLK KOMUNITAS,800.05/497-Disnaker/2021,421270901452000,Taban,BANTEN,KAB. TANGERANG,JASA,TATA BUSANA
c2dbaf39-6406-4c1c-9665-47abe960a171,BLK KOMUNITAS YAYASAN BADAN PENDIDIKAN KRISTEN GREJA KRISTEN JAWI WETAN  CABANG PARE,TJAHYO HADI WIDJOYO,2020,JL. GAJAH MADA NO. 38 PARE KECAMATAN PARE KABUPATEN KEDIRI PROVINSI JAWA TIMUR,6285649113387,multimediapare@gmail.com,,published,operational,BLK KOMUNITAS,Surat Pernyataan,020803904623000,Pare,JAWA TIMUR,KAB. KEDIRI,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
8f38bb52-5c44-43f2-a6d2-71c4aa888893,BALAI LATIHAN KERJA KOMUNITAS NURUDZOLAM,NURHADI,2020,"JL. PELAJAR, KEDUNGLANGKAP, KRATON, KENCONG",081232554489,pp.nurudzolam99@gmail.com,,published,operational,BLK KOMUNITAS,surat pernyataan,425033537626000,Kraton,JAWA TIMUR,KAB. JEMBER,"KOMUNIKASI, JASA",TEKNOLOGI INFORMASI DAN KOMUNIKASI
d54329cb-621e-40fa-a31b-3b6c4b7e19ad,LPK MALINDO JAYA BAHTERA,IDAWATY,2021,JL KAMPUNG BULU NO 20 RT.009 RW.10 DESA SETIAMEKAR KEC.TAMBUN SELATAN KAB.BEKASI JAWA BARAT,021 29379580,mjb.malindo@gmail.com,,published,operational,LPK SWASTA,1202000330511,412104994435000,Setiamekar,JAWA BARAT,KAB. BEKASI,JASA,"HOUSEKEEPING, BABY SITTER, ELDERLY CARETAKER"
7a6dbc57-1293-49f2-80b8-4854b93bbd1b,BLK KOMUNITAS YAYASAN PENDIDIKAN DAN DA'WAH NURUL ULUM,MUJAB AMRONI,2020,"RT. 07, RW. 02, DUSUN. KRAJAN, DESA. MUNJUNGAN, KEC. MUNJUNGAN, KAB. TRENGGALEK",082336514924,blkk.ypdnurululum@gmail.com,-,published,operational,BLK KOMUNITAS,2211210023584,015186257629001,Munjungan,JAWA TIMUR,KAB. TRENGGALEK,JASA,TATA KECANTIKAN
8c3b9d8d-ef80-4bfc-8515-54f080ceb569,BLK KOMUNITAS PP. DARUT TAQWA PONOROGO,"DWI BUDI SUSILO, S.E.",2020,"RT.01 RW.05, DKH. DESAN, DESA PINTU, KECAMATAN JENANGAN, PONOROGO",085232677345,blkkppdt@gmail.com,,published,operational,BLK KOMUNITAS,18022200308360001,425564382647000,Jenangan,JAWA TIMUR,KAB. PONOROGO,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
2fe36746-ae2d-482b-9e3f-44196da51f77,BLKK DARUSSALAM MEKARSARI,SAIKUL HUDA,2021,JL. KH. HASYIM ASY'ARI NO.04 DESA MAKAR SARI KECAMATAN PASIR SAKTI KABUPATEN LAMPUNG TIMUR PROVINSI LAMPUNG,082373776673,blkkdarussalam34387@gmail.com,darussalammekarsari.net,published,new,BLK KOMUNITAS,560/012/LPK/18-SK/2021,959842972321000,Mekarjaya,JAWA BARAT,KAB. BOGOR,INDUSTRI PENGOLAHAN (MANUFAKTUR),GARMEN APPAREL
b10bd7f0-1908-4f75-aead-d8603cb6b9c1,BLKK RAHMATUTTHOYYIBAH AL IFLAHAH,"DR. H. AHMAD ARI MASYHURI, MA",2020,JL. KI CAKUNG KP. KANDAWATI DESA KANDAWATI RT/RW 007/002 KEC. GUNUNG KALER KAB. TANGERANG - BANTEN,083892323732,atangafandi1@gmail.com,,published,operational,BLK KOMUNITAS,800.05/573-Disnaker/2021,438475170418000,Gunung Kaler,BANTEN,KAB. TANGERANG,PERDAGANGAN,GARMEN APPAREL
f5187d73-824b-4935-babf-c61fb97a807a,BLK KOMUNITAS MIFTAHUL ULUM SUMBER-JATI,MOH. BADRRUDDIN AMIN,2020,"KOMPLEKS PP. MIFTAHUL ULUM SUMBER JATI 
DUSUN BERJATEH LAOK DESA BUNGBARUH KECAMATAN KADUR KABUPATEN PAMEKASAN PROVINSI JAWA TIMUR",082330202223,blkkmusejati@gmail.com,,published,operational,BLK KOMUNITAS,NOMOR: 188/04.10/432.316/2021,030201347608002,Kertagena Laok,JAWA TIMUR,KAB. PAMEKASAN,JASA,"INDUSTRI KREATIF, TEKNOLOGI INFORMASI DAN KOMUNIKASI"
82088517-6f66-4f0e-8930-85e4bd158c27,BLKK MIFTAHUL QULUB,"ATIKURRAHMAN,S.AG",2020,DUSUN POLAGAN UTARA DESA POLAGAN KECAMATAN GALIS KABUPATEN PAMEKASAN PROVINSI JAWA TIMUR,087850562008,qulubmiftahul@gmail.com,,published,operational,BLK KOMUNITAS,188/04.11/432.316/2021,415632827608000,Polagan,JAWA TIMUR,KAB. PAMEKASAN,PERTANIAN,PROCESSING
e63eb53b-6b30-492c-b384-011834cada69,BLK KOMUNITAS AL MIZAN,AHMAD FANANI,2019,JALAN RAYA KEMBANGBAHU BANJARANYAR LOPANG KEMBANGBAHU LAMONGAN JAWA TIMUR,081232399930,blkkalmizan@gmail.com,,published,operational,BLK KOMUNITAS,563/257/413.116/LPK/2021,535055842645000,Rancangkencono,JAWA TIMUR,KAB. LAMONGAN,"JASA, KOMUNIKASI",TEKNOLOGI INFORMASI DAN KOMUNIKASI
c0672721-8dd5-463b-b54d-170dcb319d51,BLK KOMUNITAS AL FATTAHIYYAH TULUNGAGUNG,MOH. ANANG MUHSIN,2020,"JL. MOH. YAMIN, MIREN 2, NGRANTI, KEC. BOYOLANGU, KABUPATEN TULUNGAGUNG, JAWA TIMUR 66235, INDONESIA",082323377255,blkkalfattahiyyah@gmail.com,www.blkkalfattahiyyah.sch.id,published,operational,BLK KOMUNITAS,0510210037418,718674898629003,Boyolangu,JAWA TIMUR,KAB. TULUNGAGUNG,"KOMUNIKASI, JASA",TEKNOLOGI INFORMASI DAN KOMUNIKASI
8b3f1655-6d9f-49e6-bcc7-2c6330e0baa7,BLKK HADE RANCAGE CITALAGA,DENI AHMAD HAEDARI,2020,KP BERINGIN RT 13 RW 04 DESA PAWENANG KECAMATAN BOJONG KABUPATEN PURWAKARTA,087770392094,blkhrc@gmail.com,http://blkhrc.blogspot.com,published,operational,BLK KOMUNITAS,563/STJ/ILPK-1806/DPMPTSP/2021,411315864409000,Bojong Barat,JAWA BARAT,KAB. PURWAKARTA,JASA,TEKNOLOGI INFORMASI DAN KOMUNIKASI
603b2a38-1ef6-4b56-89e5-f0aac16d7eaa,BLK KOMUNITAS YAYASAN PONDOK PESANTREN AL HIDAYAH,PRASTIYO HERU UTOMO,2020,DUSUN BRUMBUN DESA LAMONGREJO KECAMATAN NGIMBANG KABUPATEN LAMONGAN,085784478952,arirahman489@gmail.com,-,published,new,BLK KOMUNITAS,563/179/413.116/LPK/2021,022256489645000,Ngasemlemahbang,JAWA TIMUR,KAB. LAMONGAN,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
beffc2db-5201-4c67-9516-f8f8f514974d,BLKK ENTREPRENEUR MUHAMMADIYAH,DRS. MOHAMAD SUKIRMAN,2021,JL. RAYA KLAMPOK NO. 21 DESA KLAMPOK KECAMATAN BENJENG KABUPATEN GRESIK,087857021140,lppmbenjeng03@gmail.com,,published,operational,BLK KOMUNITAS,SURAT PERNYATAAN,423859545642000,Klampok,JAWA TIMUR,KAB. GRESIK,"JASA, KOMUNIKASI",TEKNOLOGI INFORMASI DAN KOMUNIKASI
91196174-9699-45f6-94d3-c607acda9e38,BLKK PONPES FATHURROBBAANIY,"MUHAMAD KHOLIS ANSORI, S.AG",2020,CIJORO PASIR,085646681987,fathurrobbaaniyblkk@gmail.com,,published,new,BLK KOMUNITAS,NOMOR: 563/182-Disnaker/V/2021,455264769419000,Cijoro Pasir,BANTEN,KAB. LEBAK,JASA,TATA BUSANA
fc780371-c3ca-48b5-8727-5b92324d5f40,BLK KOMUNITAS PENGURUS CABANG NU BANTUL,ACHMAD ROIS WIZDA,2020,TILAMAN WUKIRSARI KEC. IMOGIRI KOTA BANTUL PROVINSI DAERAH ISTIMEWA YOGYAKARTA.,085847778141,blkkpcnubantul@gmail.com,,published,new,BLK KOMUNITAS,Surat Pernyataan,423283738543000,Wukirsari,DAERAH ISTIMEWA YOGYAKARTA,KAB. BANTUL,KOMUNIKASI,TEKNOLOGI INFORMASI DAN KOMUNIKASI
